SEC,Total New Flows,HTTP New Flows,SSL New Flows
0,1,0,0
1,1,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,0,0
7,0,0,0
8,22,0,6
9,1,0,1
10,7,0,2
11,17,0,4
12,2,0,1
13,7,0,5
14,1,0,0
15,1,0,0
16,5,0,4
17,2,0,0
18,0,0,0
19,4,0,2
20,18,0,10
21,0,0,0
22,1,0,0
23,1,0,0
24,2,0,0
25,6,0,5
26,0,0,0
27,0,0,0
28,0,0,0
29,2,0,1
30,1,0,1
31,0,0,0
32,4,0,0
33,1,0,0
34,1,0,0
35,3,0,1
36,1,0,1
37,0,0,0
38,0,0,0
39,0,0,0
40,1,0,1
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,3,0,0
52,0,0,0
53,0,0,0
54,9,2,1
55,7,0,0
56,1,0,1
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,37,20,3
62,21,8,5
63,34,8,13
64,44,12,12
65,25,13,3
66,20,8,4
67,26,8,5
68,15,6,5
69,13,1,10
70,0,0,0
71,3,1,0
72,2,1,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,1,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,31,25,1
86,9,3,3
87,58,38,5
88,27,17,2
89,16,3,4
90,13,8,3
91,7,4,1
92,4,0,0
93,1,0,1
94,7,1,1
95,6,0,3
96,0,0,0
97,1,0,1
98,2,0,1
99,1,0,1
100,4,3,0
101,1,1,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,5,5,0
108,9,5,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,2,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,3,0,0
147,0,0,0
148,2,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,4,0,0
153,0,0,0
154,0,0,0
155,4,0,2
156,4,1,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,1,1,0
164,1,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,1,0,0
169,0,0,0
170,0,0,0
171,1,0,0
172,0,0,0
173,1,0,0
174,4,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,1,1,0
180,0,0,0
181,0,0,0
182,0,0,0
183,1,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,2,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,1,1,0
210,0,0,0
211,0,0,0
212,4,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,7,0,0
217,1,0,0
218,15,10,0
219,1,1,0
220,35,13,1
221,54,8,1
222,19,10,5
223,6,1,0
224,11,8,0
225,9,7,1
226,2,1,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,1,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,4,0,0
