PROTOCOLS,PACKETS,BITS,%BITS,MBPS,FLOWS,FLOWS/1Gbps
HTTP,15616,101060048,56.741,0.370,253,1477
Unknown,7683,49496784,27.790,0.181,56,327
SSL,3279,16277120,9.139,0.060,76,444
Google,2354,6742864,3.786,0.025,114,665
Facebook,553,1786600,1.003,0.007,22,128
GMail,173,1016424,0.571,0.004,2,12
SSDP,293,737608,0.414,0.003,26,152
DNS,421,718288,0.403,0.003,187,1091
Skype,43,81960,0.046,0.000,4,23
Amazon,25,81296,0.046,0.000,2,12
NetBIOS,42,50656,0.028,0.000,2,12
LLMNR,56,33152,0.019,0.000,28,163
AppleiTunes,4,9680,0.005,0.000,2,12
YouTube,4,5376,0.003,0.000,1,6
Twitter,4,5184,0.003,0.000,2,12
UPnP,4,4352,0.002,0.000,1,6
BitTorrent,1,656,0.000,0.000,1,6
